2025-03-05 - 2025-03-11
"Strawberries 1-lb. Blueberries, Raspberries or Blackberries 6-oz., BUY 1 GET 1 FREE Member Price When you Buy 2, "
"Cake Slice, , 2 for $5 member price"
"Crystal Geyser Alpine Spring Water 35-pack, 16.9-oz. Bundaberg 4-pack, 12.7-oz. Snapple Tea 6-pack, 16-oz., , $5 ea member price"
"Cape Cod Potato Chips 7 to 8-oz. Snyder's Pretzels or Rounds 12 to 16-oz Miss Vickie's Chips 8-oz., , 2 for $5 member price"
"J. Brandt, , $5 ea member price"
"debi lilly design Rose and Alstroemeria Bouquet, , $5 ea member price"
"Harmless Harvest Coconut Water, , $3.49 ea member price"
"Orchard Valley Harvest Nut Pack, , $4.99 ea member price"
"Oaxaca Mama Salsa, , $4.99 ea member price"
"Kerrygold Cheddar Cheese, , $5.99 ea member price"
"Oroweat Variety Bread, , $5.99 member price"
"Hostess Bagged Donettes, , $3.49 member price"
"Van de Kamp's Seafood Selections, , $5.99 ea member price"
"Waterfront Bistro® Nova Atlantic Smoked Salmon Party Wheel, , $13.99 ea member price"
"Oscar Mayer Basic Lunchables, , 5 for $5 when you buy 5 member price"
"Buddig Mega Pack Lunchmeat, , $3.99 ea member price when you buy 2"
"Johnsonville Sausage, , $6.49 ea member price"
"Simply Mashed Potatoes, , $4.49 ea member price"
"Fage Yogurt, , 2 for $6 member price"
"Cacique Cheese, , $3.99 member price"
"Planet Oat Oatmilk, , $5.99 member price"
"nutpods Creamer, , $3.99 member price"
"Gold Peak Tea, , $2.99 member price"
"Daisy Cottage Cheese, , 3 for $5 member price"
"Lucerne® Soft Cream Cheese, , 2 for $7 member price"
"Pillsbury Cinnamon Rolls, Crescents, Grands! Biscuits or Cornbread Swirls, Earn 4X POINTS, 2 for $7.00 member price"
"I Can't Believe It's Not Butter!, EARN 4x POINTS, $3.49 member price"
"Sargento String or Stick Cheese, Earn 4x POINTS, $4.99 member price"
"Kozy Shack Pudding Tub 22-oz. Rice or Tapioca Pudding Cups 4-pack, 4-oz., , $3.49 member price"
"Land O'Lakes Butter Spread, , 2 for $5 member price"
"Sukhi's Samosas, , $6.99 member price"
"Tillamook Ice Cream, , 2 for $8 member price"
"Bertolli Dinner Entrée, , $6.99 member price"
"Jimmy Dean Breakfast Bowl, , 2 for $9 member price"
"Sambazon Açaí, , $6.99 member price"
"Marie Callender's Single Serve Fruit Pie, , $3.79 member price"
"Ore-Ida Tater Tots, EARN 2x POINTS, $7.49 member price"
"Pictsweet Farms Vegetables, , $2.99 member price"
"Stouffer's, Lean Cuisine or Life Cuisine Bowl or Sandwich, , $4.49 ea member price when you buy 2"
"Red Baron Singles Pizza, , $4.99 member price"
"Armanino Pasta 16-oz. Basil Pesto 7-oz., , 2 for $7 member price"
"New York Bakery Texas Toast or Breadsticks, , 2 for $7 member price"
"Peet's Coffee, , $16.99 member price"
"Good Earth or Tetley Tea, , $3.99 member price"
"Mott's Apple Juice, EARN 2x POINTS, $2.99 member price"
"Skippy P.B. Bites, EARN 4x POINTS, $3.99 member price"
"Nissin Top Ramen, , 4 for $1 member price"
"Sonoma Gourmet Pasta Sauce, BUY 1 GET 1 FREE Member Price When you buy 2, "
"Rice-A-Roni or Pasta Roni 4.6 to 7.2-oz. Mac-A-Roni Pasta Mix 5.9-oz., , 4 for $5 member price"
"Chicken of the Sea Sardines, , 10 for $10 member price"
"Golden Star Jasmine Rice, , $7.99 member price"
"Taco Bell Sauce, , $1.99 member price"
"Garden Wafers 7-oz. Gimme Seaweed Snack 5-pack., , $3.99 member price"
"Mazola Cooking Oil, , $5.99 member price"
"Kraft Salad Dressing, , $3.49 member price"
"O Organics® Spices, Earn 2X POINTS, $4.99 member price"
"Pillsbury Cake Mix 15.25-oz. Frosting 12 -., EARN 4X POINTS, $2.99 member price"
"Red Lobster Biscuit Mix 11.36-oz. Krusteaz Cornbread Mix 15 to 16-oz., , 2 for $7.00 member price"
"Kellogg's Cereal, , 2 for $7 when you buy 2 member price"
"BEAR Fruit Rolls 5-ct. KIND Bars 6-ct., , $4.49 member price"
"Quaker Instant Oatmeal Protein or High Fiber, , $4.99 member price"
"PBfit Peanut Butter Powder, , $11.99 member price"
"Blue Diamond Almonds, , $2.49 when you buy 3 member price"
"Santitas Tortilla Chips, , 2 for $5 when you buy 2 member price"
"Cheez-It, Snap'd or Puff'd Crackers 5.75 to 12.4-oz. Kellogg's Club or Town House Crackers 9.2 to 13.8-oz., EARN 4x POINTS, 2 for $5 when you buy 2 member price"
"Pringles Chips, Earn 4x POINTS, $2.49 ea when you buy 3 member price"
"Cadbury Eggs, , $4.49 member price"
"Pepsi, EARN 2x POINTS, $4.99 member price"
"Signature SELECT® refreshe® Purified Drinking Water, , 2 for $7 member price"
"Red Bull, , 2 for $5 when you buy 2 member price"
"Signature SELECT® Trash Bags, EARN 2x POINTS, $8.99 member price"
"Signature SELECT® Facial Tissue, , $1.99 member price"
"Chinet Tableware 24 to 60-ct. Cut Crystal 16 to 50-ct., , $7.99 member price"
"Signature SELECT® Bath Tissue 30-Rolls. Brightly Paper Towels 12-Rolls., , $19.99 member price"
"Rachael Ray Nutrish Dry Dog Food, , $15.99 member price"
"Butcher's Natural Dog Treats, , $11.99 member price"
"Purina Cat Chow Dry Cat Food, , $20.99 member price"
"Fresh Step Cat Litter, , $22.99 member price"
"Reese's SWEET SAVINGS, SAVE $5 WHEN YOU SPEND $15!, "
"Reese's Sweet Savings, Spend $15 Save $5 with your Member Account, "
"Hershey's Cadbury Egg, , 4 for $5 member price"
"Hershey's Easter Share Size, , $4.49 member price"
"Hershey's Easter Multi-Pack, , $7.49 member price"
"LÄRABAR, , 3 for $4 member price"
"Ferrara Easter Mixed Bag, , $7.99 member price"
"Trident Chewing Gum, , 2 for $3 member price"
"Peeps Bunnies or Chicks, , 4 for $5 member price"
"Brach's Jelly Beans, , 2 for $7 member price"
"Powercrunch Bar, , 2 for $3 member price"
"Nature Made Vitamins, BUY 1 GET 1 FREE When you buy 2 member price, "
"Easter Melamine Divided Plate, Bowl or Dinnerware, , 2 for $4 member price"
"Easter 12"" x12"" Gel Clings, , 2 for $4 member price"
"Easter Table Décor, 33% OFF Member Price, "
"Easter Porch Greeter, 33% OFF Member Price, "
"RXBAR, EARN 4x POINTS, $1.99 ea member price when you buy 2"
"Goofy Foot Spring Toy, 25% OFF Member Price, "
"Mattel Hot Wheels, , 4 for $5 member price"
"Energizer Batteries, , $24.99 member price"
"Village Candle, $5 OFF Member Price, "
"Clif or Luna Energy Bars, EARN 4x POINTS, $7.49 member price"
"Signature SELECT® 2.5"" or 3.5"" Bright or Pastel Plastic Eggs, , 2 for $3 member price"
"Fun Easter Grass, , 2 for $4.00 member price"
"PAAS Glitter Color Dye Cups or Tye Dye Egg Dye Kit, , 2 for $5 member price"
"Peeps Foamies, Bubble Wand, or Grow-a-Peep, 25% OFF Member Price, "
"Muscle Milk Genuine Shakes, EARN 4X POINTS, $8.99 member price"
"Filled Easter Basket, 25% OFF Member Price, "
"Easter Plush, 25% OFF Member Price, "
"Signature SELECT® St. Patrick's Day Paper Goods, , 2 for $3 member price"
"St. Patrick's Day Wearable Accessories, 25% OFF Member Price, "
"Quest Bars, EARN 4x POINTS, $8.99 member price"
