2025-03-12 - 2025-03-18
"Brach's Classic, Spiced or Black Jelly Beans, , 2 for $7 member price"
"7UP, , $2.79 when you buy 2 member price"
"Core Hydration Water 30.4—oz. Evian Spring Water Liter., , 3 for $5 member price"
"Monster Energy Drink, , $9.99 member price"
"Hefty Trash Bags, , $18.99 member price"
"Dixie Tableware, , $4.49 member price"
"Puffs Facial Tissue, , $5.49 ea"
"Dawn Dishwashing Soap 16.2 to 18-oz. EZ Squeeze 12.2 to 14.7-oz, , $2.99 ea"
"Jinx Dog Food, , $13.99 member price"
"Zuke's Dog Treats, , 2 for $7 member price"
"Blue Buffalo Dry Cat Food, , $22.99 member price"
"Arm & Hammer Cat Litter, , $10.99 member price"
"Reese's SWEET SAVINGS, SAVE $5 WHEN YOU SPEND $15!, "
"Reese's Sweet Savings, Spend $15 Save $5 with your Member Account, "
"Kinder Joy, Bueno or Chocolate, , $2.99 member price"
"Ferrara Egg Hunt, Spend $15 Get FREE Plastic Eggs with your Member Account, "
"Happy Baby Pouch, , 3 for $5.00 member price"
"O Organics® Baby Food Pouch, , 4 for $5 member price"
"Hershey's King Size Bar, , 2 for $5 member price"
"Lindt Gold Bunny, BUY 2 GET 1 FREE Member Price When you Buy 3, "
"Dove Eggs Bag, , $4.49 member price"
"Pedialyte, , $6.99 ea member price"
"Ghirardelli Bunnies Large Bag, , $7.49 member price"
"Russell Stover Assorted Box, , $8.99 member price"
"Mars Family Size Candy, $3 OFF Member Price, "
"Gerber Puffs Snacks, , 2 for $6 member price"
"PAAS Color Egg Dye Kit, Color Cups or Signature SELECT® 2.5-Inch Pastel Plastic Eggs, , 2 for $4 member price"
"Easter Plush, 25% OFF Member Price, "
"Signature SELECT® Easter Paper Goods, , 2 for $3 member price"
"Johnson & Johnson Baby Care, , $5.99 member price"
"Huggies Wipes, , $19.99 member price"
"Easter Melamine, 33% OFF Member Price, "
"Yankee or Spring Candles, 33% OFF Member Price, "
"Mattel Hot Wheels, , 4 for $5 member price"
"Huggies Little Movers, Little Snugglers, Pull-Ups or Goodnites, , $11.99 member price"
"Easter Porch Greeter, 33% OFF Member Price, "
"Spring Gel Clings, , 2 for $3 member price"
"Easter Toy, 25% OFF Member Price, "
"Peeps Toy, 25% OFF Member Price, "
"Empty Bamboo Basket and Easter Grass, 25% OFF Member Price, "
"Filled Easter Basket, 25% OFF Member Price, "
"Tampax, , $9.99 member price"
"Always Pads, , $10.99 member price"
"Peeps Plush, 25% OFF Member Price, "
"Easter Squishmallow, 25% OFF Member Price, "
